Users,sku,Purchase
100299743,PNQATV0014,Patal Pohe Chiwda
100299743,HYDKBA0012,Karachi Fruit Biscuit (Pack Of 2)
100299742,JODJOS0005,Ghewar (Sweet)
100299740,SLPBLK0002,Khirmohan
100299712,GUROMS0001,Doda Burfi
100299696,CCJDLB0036,Ghee Cake
100299695,GUROMS0001,Doda Burfi
100299694,JODJOS0005,Ghewar (Sweet)
100299688,BKBROP0001,Milk Cake 
100299688,JODJOS0001,Kaju Katli
100299688,BOMMMM0057,MM Kaju Ice Halwa
100299686,DHWBTP0001,Dharwad Pedha
100299683,GUROMS0001,Doda Burfi
100299596,CCJDLB0065,Kozhikodan Banana Halwa
100299573,SLPBLK0002,Khirmohan
100299460,JODJOS0005,Ghewar (Sweet)
100299455,COKKJR0001,Kunju's Jam Rolls
100299454,PSIRKFP009,Poha Papad (20 Pcs)
100299442,TVLMFI0002,Tirunelveli Melting Halwas (Pack of 3)
100299432,JODJOS0005,Ghewar (Sweet)
100299421,JODJOS0005,Ghewar (Sweet)
100299389,JODJOS0005,Ghewar (Sweet)
100299360,NAGHLR0001,Orange Burfee
100299360,CCJDLB0073,Assorted Halwa (in a Container)
100299360,PNQCBM0001,Chitale Bhakarwadi
100299360,PNQLNC0007,Cornflakes Chiwda (Pack of 2)
100299360,PNQLNC0008,Potato Chiwda (Pack of 2)
100299360,DHWBTP0001,Dharwad Pedha
100299360,LONMGC0007,Assorted Dryfruit Chikki
100299339,GOKSDS0002,Golden Karadant
100299339,GOKSDS0001,Premium Golden Karadant
100299339,SSEANF0002,Shenga Chutney (Solapur Spl)
100299338,COKEAM0005,Fish Masala (2 Packs)
100299322,ERNMMP0001,Chakkavaratty (Kerala Jackfruit Jam/Halwa)
100299200,PNQLNC0006,Laxminarayan Chiwda (Poha) (Pack of 2)
100299164,OOTMOC0009,Dark Almond Chocolate
100299161,OOTMOC0009,Dark Almond Chocolate
100299154,OOTMOC0009,Dark Almond Chocolate
100299153,OOTMOC0009,Dark Almond Chocolate
100299147,CMBSKS0001,Mysurpa
100299133,BOMGOP0027,Goosebumps Homemade Masala Strawberry Aftermeal
100299132,AGRPRP0003,Rasbari Petha
100299125,CCJKBC0005,Kumari Banana Chips
100299124,IDRTNJ0004,Mathri (Pack of 2)
